course_code,title,instructor,meeting_times,prerequisites,department,description,source,text
AFRI0090,An Introduction to Africana Studies,,,,Africana Studies,"This course introduces students to the vibrant and contested field of Africana Studies by critically exploring and analyzing the links and disjunctures in the cultural, political, and intellectual practices and experiences of people of African descent throughout the African diaspora. Beginning with a critical overview of the history, theoretical orientations, and multiple methodological strategies of the discipline, the course is divided into three thematic units that examine intellectuals, politics, and movements; identity construction and formation; and literary, cultural, and aesthetic theories and practices in the African diaspora.",BULLETIN,"An Introduction to Africana Studies This course introduces students to the vibrant and contested field of Africana Studies by critically exploring and analyzing the links and disjunctures in the cultural, political, and intellectual practices and experiences of people of African descent throughout the African diaspora. Beginning with a critical overview of the history, theoretical orientations, and multiple methodological strategies of the discipline, the course is divided into three thematic units that examine intellectuals, politics, and movements; identity construction and formation; and literary, cultural, and aesthetic theories and practices in the African diaspora. Africana Studies"
AFRI0370,African American Novels of the 1970s,M. Ajibade,M 3-5:30p,,Africana Studies,"Literary historians generally agree that in the 1970s , in the U.S., there was a significant increase in the publication of diverse forms of African American literature. The 1970s is also often described by scholars as a decade in which there was a renaissance of African American women’s writing as well as the publication of several experimental African American literary works. In this seminar, we will study this lively period in African American literary history primarily through novels, some of them recently republished or adapted into other forms. What idea of African American literature do we get when we read novels from this era? What questions were asked in 1970s African American novels that we continue to ask now? Novels we will likely read include detective fiction, diaristic fiction, satirical fiction, a love story, and historical fiction.",CAB,"African American Novels of the 1970s Literary historians generally agree that in the 1970s , in the U.S., there was a significant increase in the publication of diverse forms of African American literature. The 1970s is also often described by scholars as a decade in which there was a renaissance of African American women’s writing as well as the publication of several experimental African American literary works. In this seminar, we will study this lively period in African American literary history primarily through novels, some of them recently republished or adapted into other forms. What idea of African American literature do we get when we read novels from this era? What questions were asked in 1970s African American novels that we continue to ask now? Novels we will likely read include detective fiction, diaristic fiction, satirical fiction, a love story, and historical fiction. Africana Studies"
AFRI0411,"Reading Revolt: Blackness, Politics, and Morality",M. Thompson,T 4-6:30p,,Africana Studies,"This discussion-based seminar considers the critical question of Black revolt and its relationship to politics and morality. From the slave revolts of the 1800s century to the Black revolutionary movements of the 1960s , we will cover recurrent themes related to Black revolt through an interdisciplinary array of historical and literary sources, as well as scholarly texts. Discussions will focus on the various contributions of Black thinkers and actors who have faced the issue of revolt, and how they confront around ideas surrounding sovereignty, violence, and politics. Critically we will consider the question: What is at stake in Black revolt? Throughout the course we think comparatively across multiple contexts (enslavement, colonization, systematic oppression) to consider how the relationship between Blackness and revolt emerges, shifts, and what it means for our foundational concepts of Western order such as politics, morality, and rationality.",CAB,"Reading Revolt: Blackness, Politics, and Morality This discussion-based seminar considers the critical question of Black revolt and its relationship to politics and morality. From the slave revolts of the 1800s century to the Black revolutionary movements of the 1960s , we will cover recurrent themes related to Black revolt through an interdisciplinary array of historical and literary sources, as well as scholarly texts. Discussions will focus on the various contributions of Black thinkers and actors who have faced the issue of revolt, and how they confront around ideas surrounding sovereignty, violence, and politics. Critically we will consider the question: What is at stake in Black revolt? Throughout the course we think comparatively across multiple contexts (enslavement, colonization, systematic oppression) to consider how the relationship between Blackness and revolt emerges, shifts, and what it means for our foundational concepts of Western order such as politics, morality, and rationality. Africana Studies"
AFRI0510,Love Stories in African Literature and Film,M. Ajibade,TTh 2:30-3:50p,,Africana Studies,"In African cinema and modern African literature, the genre of the love story is often used by artists as a medium for addressing various socio-political issues. In this seminar, we will discuss African love stories as complex narratives about romantic relationships, as political fiction, and as spaces where African artists reflect on romantic love, romantic desire, and the idea of romance. In what ways do African love stories published in the twentieth century still speak to us today? How do twenty-first century African artists use love stories to confront contemporary societal concerns?",CAB,"Love Stories in African Literature and Film In African cinema and modern African literature, the genre of the love story is often used by artists as a medium for addressing various socio-political issues. In this seminar, we will discuss African love stories as complex narratives about romantic relationships, as political fiction, and as spaces where African artists reflect on romantic love, romantic desire, and the idea of romance. In what ways do African love stories published in the twentieth century still speak to us today? How do twenty-first century African artists use love stories to confront contemporary societal concerns? Africana Studies"
AFRI0551,"Bodies, Race, and Resistance: Africana Perspectives on Health Inequality",K. Gallon,TTh 10:30-11:50a,,Africana Studies,"This course examines the historical foundations and contemporary realities of health inequality in the United States through an Africana Studies lens. Students will study how racism, structural inequities, and systems of power shape health outcomes across race, class, gender, and citizenship. We will investigate themes including slavery’s medical legacies, segregation and Jim Crow health systems, immigration and exclusion, incarceration and the carceral state, and the persistence of race-based medicine. At the same time, we will highlight Black communities’ strategies of resistance, resilience, and advocacy for health justice. The course combines historical and contemporary case studies to equip students with a critical understanding of the past and its implications for today’s health challenges.",CAB,"Bodies, Race, and Resistance: Africana Perspectives on Health Inequality This course examines the historical foundations and contemporary realities of health inequality in the United States through an Africana Studies lens. Students will study how racism, structural inequities, and systems of power shape health outcomes across race, class, gender, and citizenship. We will investigate themes including slavery’s medical legacies, segregation and Jim Crow health systems, immigration and exclusion, incarceration and the carceral state, and the persistence of race-based medicine. At the same time, we will highlight Black communities’ strategies of resistance, resilience, and advocacy for health justice. The course combines historical and contemporary case studies to equip students with a critical understanding of the past and its implications for today’s health challenges. Africana Studies"
AFRI0610,Black Student Protest from Jim Crow to the Present,M. Guterl,TTh 9-10:20a,,Africana Studies,"This is a history-driven class about black student protest. It puts this history in direct dialogue with other kinds of student protests over the long twentieth century. The point of the class is to ground conversations about contemporary protest culture in an historical context that extends well beyond Brown, that moves into the deep history of higher education and education more generally, and that reveals the intersection of protest with other global, national, and local plotlines. It is, as well, meant to think about how all of these histories have been represented popularly and politically in the very recent past.",CAB,"Black Student Protest from Jim Crow to the Present This is a history-driven class about black student protest. It puts this history in direct dialogue with other kinds of student protests over the long twentieth century. The point of the class is to ground conversations about contemporary protest culture in an historical context that extends well beyond Brown, that moves into the deep history of higher education and education more generally, and that reveals the intersection of protest with other global, national, and local plotlines. It is, as well, meant to think about how all of these histories have been represented popularly and politically in the very recent past. Africana Studies"
AFRI0990,Black Lavender: Black Gay/Lesbian Plays/Dramatic Constructions in the American Theatre,S. Robinson,F 3-5:30p,,Africana Studies,"Study of plays with African-American LGBTQ+ content, primarily manuscripts, with a focus on thesis paper development. Creative writing option. Participation in the Black Lavender Experience required. Cross-listed with TAPS. Gender and Sexuality.",CAB,"Black Lavender: Black Gay/Lesbian Plays/Dramatic Constructions in the American Theatre Study of plays with African-American LGBTQ+ content, primarily manuscripts, with a focus on thesis paper development. Creative writing option. Participation in the Black Lavender Experience required. Cross-listed with TAPS. Gender and Sexuality. Africana Studies"
AFRI1050E,Performing the Black Arts Movement,L. Biggs,TTh 1-2:20p,,Africana Studies,"The course introduces students to the Black Arts Movement (BAM), an era from approx. 1965-1975 of politically charged, socially relevant art making designed to uncover, liberate, connect, and transform Black people. BAM artists used ritual, poetry, music, song, dance, and theatre to identify, disrupt, and examine human thought and action that produced and sustained racism, poverty, colonialism, and sexism. In our class, students will study BAM manifestos, poetry, and plays designed to transform audiences. These course readings will be augmented by regular, on-your-feet, interactive workshops in BAM performance techniques such as improvisational theatre, agit-prop, and the choreopoem. Along the way, we will also dive into the origins of Brown’s own Rites &amp; Reason Theatre (est. 1971), and the importance of community-engaged participant research in the African American theatre tradition.",CAB,"Performing the Black Arts Movement The course introduces students to the Black Arts Movement (BAM), an era from approx. 1965-1975 of politically charged, socially relevant art making designed to uncover, liberate, connect, and transform Black people. BAM artists used ritual, poetry, music, song, dance, and theatre to identify, disrupt, and examine human thought and action that produced and sustained racism, poverty, colonialism, and sexism. In our class, students will study BAM manifestos, poetry, and plays designed to transform audiences. These course readings will be augmented by regular, on-your-feet, interactive workshops in BAM performance techniques such as improvisational theatre, agit-prop, and the choreopoem. Along the way, we will also dive into the origins of Brown’s own Rites &amp; Reason Theatre (est. 1971), and the importance of community-engaged participant research in the African American theatre tradition. Africana Studies"
AFRI1090A,The Civil Rights Movement,F. Hamlin,TTh 2:30-3:50p,,Africana Studies,"This lecture course unpacks the history of the Black mass civil rights movement in the United States as part of the Black Freedom Struggle using a range of sources and methods. Moving thematically and focusing primarily on the South, the course considers the roles of the courts, the government, organizations, local communities, and activist individuals in the ongoing struggle for social, political and economic equality. Sources include photographs, documentaries, movies, letters, speeches, autobiography, and secondary readings. By the end of the course, students will have a grasp on how to critically analyze primary sources but also develop tools for more general critical analysis and writing. Moreover, students will understand why history matters.",CAB,"The Civil Rights Movement This lecture course unpacks the history of the Black mass civil rights movement in the United States as part of the Black Freedom Struggle using a range of sources and methods. Moving thematically and focusing primarily on the South, the course considers the roles of the courts, the government, organizations, local communities, and activist individuals in the ongoing struggle for social, political and economic equality. Sources include photographs, documentaries, movies, letters, speeches, autobiography, and secondary readings. By the end of the course, students will have a grasp on how to critically analyze primary sources but also develop tools for more general critical analysis and writing. Moreover, students will understand why history matters. Africana Studies"
AFRI1212,Rethinking ‘Black Music’?,Z. Kent-Smith,T 4-6:30p,,Africana Studies,"In an interview with Red Bull Music Academy, the oft-cited progenitor of “neo-soul,” D’Angelo, rebuffed the industry’s attribution of the sub-genre to his music. The singer suggested that he simply makes “black music.” This course asks students to reflect on two guiding questions: 1) What is black music? 2) What does black music do? We will use an undisciplined approach to black sonic cultures that includes material from black studies, cultural studies, and history. Each class will consist of deep listening to an album and robust discussions. Assigned readings will equip students to note the historical and contemporary conditions that shape the formation and reception of black music by critics and general audiences. Rather than trying to uncover the meanings intended by artists, students will consider what their art does relative to the social climate in which they emerge.",CAB,"Rethinking ‘Black Music’? In an interview with Red Bull Music Academy, the oft-cited progenitor of “neo-soul,” D’Angelo, rebuffed the industry’s attribution of the sub-genre to his music. The singer suggested that he simply makes “black music.” This course asks students to reflect on two guiding questions: 1) What is black music? 2) What does black music do? We will use an undisciplined approach to black sonic cultures that includes material from black studies, cultural studies, and history. Each class will consist of deep listening to an album and robust discussions. Assigned readings will equip students to note the historical and contemporary conditions that shape the formation and reception of black music by critics and general audiences. Rather than trying to uncover the meanings intended by artists, students will consider what their art does relative to the social climate in which they emerge. Africana Studies"
